algorithm,learning_rate,initial_nll,final_nll,true_model_nll
SGD,0.005,1.0986122886681102,0.41989844942114707,0.38769849400581674
DSNGD,0.005,1.0986122886681102,0.3883006843182882,0.38769849400581674
